question,refined_correct_options,refined_incorrect_options
The faithful believe that when they're praying they are doing what?,"['expressing personal devotion', 'seeking spiritual clarity', 'invoking inner peace']","['requesting material wealth', 'discussing community issues', 'sharing personal stories', 'focusing on self-improvement']"
"The children were running late for school, after eating breakfast they left behind their what?","['forgotten homework', 'dirty dishes', 'untied shoelaces']","['favorite toy', 'clean plates', 'planned schedule', 'water bottle']"
"The morbidly obese man with unkempt facial hair got his dream job, he was eating hamburger for a show every week which brought him total what?","['satisfaction', 'joy from acclaim', 'contentment in expression']","['publicity from antics', 'discomfort from indulgence', 'temporary thrill from food', 'excitement from chaos']"
"He was trying to contemplate the formula, as it came to him he filled out the whats?","['calculations based on variables', 'hypotheses derived from data', 'assumptions leading to predictions']","['unrelated thoughts', 'basic definitions', 'random estimations', 'memorization techniques']"
"The mom told her son to stay in bed instead of going to school, what did she likely say afterwards?","['monitor symptoms', 'stay comfortable', 'avoid exertion']","['take a break', 'rest up', 'skip class', 'sleep in']"
"He hadn't paid the tax or many other bills for that matter, he had horrible what?","['credit score', 'debt management', 'financial health']","['cash reserves', 'asset growth', 'income stability', 'liquid funds']"
The water spout at the center was impressive. The spout was at the center of what?,"['ornamental fountain', 'decorative water feature', 'interactive aqua sculpture']","['irrigation setup', 'wastewater outlet', 'garden pond', 'stormwater reservoir']"
"I had some old stuff that could be valuable , where did I send it?","['historical society', 'auction house', 'charity auction']","['neighborhood sale', 'community center', 'local dump', 'family storage']"
Why would you smoke despite warnings?,"['ignore health risks for acceptance', 'prioritize pleasure over consequences', 'rationalize addiction while dismissing feedback']","['assume smoking boosts creativity', 'believe smoking aids social skills', 'expect smoking enhances mood instantly', 'consider smoking a weight loss strategy']"
which half of the earth do marmots live in?,"['high-altitude regions', 'temperate climates', 'subarctic grasslands']","['urban parks', 'tropical savannas', 'southern deserts', 'coastal wetlands']"
"By playing with educational materials, what were the children doing?","['developing understanding through exploration', 'enhancing skills via collaborative tasks', 'stimulating imagination with creative activities']","['creating distractions with noise', 'engaging in competitive games', 'practicing routines without guidance', 'misusing tools leading to confusion']"
What do ships other than cargo ships do when they are in the ocean?,"['transport passengers', 'conduct oceanography', 'perform naval drills']","['drift without purpose', 'engage in fishing', 'serve as temporary shelters', 'generate energy from tides']"
What is a tool for fighting inflation?,"['restricting money supply', 'cutting public expenditures', 'raising borrowing costs']","['stimulating consumer spending', 'increasing welfare benefits', 'lowering corporate taxes', 'encouraging debt accumulation']"
"To learn something new, what is something an adult can take?","['skill development workshop', 'interactive online seminar', 'structured mentorship program']","['library membership', 'general university enrollment', 'informal discussion group', 'self-study textbook']"
"Where would there be few or no people, regardless of whether there is rain?","['dense forest', 'remote cave', 'isolated island']","['busy city park', 'popular hiking trail', 'crowded amusement park', 'urban rooftop']"
"Joe put the back of the painting against the way, and displayed what side?","['visible artwork side', 'artistic face outward', 'front-facing display']","['hidden side up', 'reversed orientation', 'obscured face forward', 'sideways angle view']"
When does christmas happen in Argentina?,"['summer festivities', 'family gatherings', 'outdoor celebrations']","['winter holidays', 'gift exchanges', 'autumn festivals', 'spring celebrations']"
Where could you see a mammoth that is not real?,"['animated film', 'virtual reality', 'art installation']","['natural history', 'prehistoric exhibit', 'historical documentary', 'scientific research']"
Where are there very famous churchyard?,"['historic sites', 'literary graves', 'annual festivals']","['small towns', 'rural areas', 'modern cemeteries', 'industrial zones']"
What can smoking lead to?,"['impaired respiratory function', 'increased susceptibility to infections', 'chronic obstructive pulmonary disease']","['short-term relaxation', 'occasional social bonding', 'temporary mood elevation', 'mild appetite increase']"
"To avoid tripping while moving through your home, where should you have a light source?","['motion-sensor stairs', 'overhead living room', 'task lighting tables']","['outdoor solar lights', 'ambient window light', 'decorative shelf candles', 'flashlight under bed']"
What do you want to do to conquer opponent?,"['strategically outmaneuver', 'exploit weaknesses', 'maintain psychological edge']","['assert dominance', 'overwhelm quickly', 'rely on chance', 'focus on personal skill']"
"The man was sick of secular consumerism, what life did he seek instead?","['spiritual retreat', 'intentional community', 'simple living']","['family gatherings', 'career advancement', 'luxury travel', 'social events']"
Where would it be too cold for a marmoset?,"['polar regions', 'high-altitude plateaus', 'subarctic tundras']","['urban centers', 'coastal resorts', 'winter sports areas', 'tropical beaches']"
What do people typically have a hard time doing while at a shop?,"['assessing budget limits', 'prioritizing needs effectively', 'comparing product features']","['placing items in cart', 'finding customer service', 'reading price tags', 'checking store hours']"
Knitting can cause what kind of illness in the hand?,"['tendonitis', 'carpal tunnel syndrome', ""de Quervain's tenosynovitis""]","['temporary numbness', 'muscle growth', 'hand fatigue', 'improved dexterity']"
Why would you cook dinner?,"['satisfy hunger', 'use seasonal produce', 'enhance culinary skills']","['grab takeout', 'meal prep', 'dine with family', 'watch food videos']"
Where do wings symbolize a transition has happened?,"['spiritual ascension', 'metaphorical rebirth', 'transcendent journey']","['aircraft design', 'pilot training', 'sky tours', 'aviation history']"
"He was her uncle, and she was his what?","['female relative', 'child of sibling', 'descendant of sibling']","['sibling of spouse', 'family acquaintance', 'child of uncle', 'nephew of aunt']"
Where would you find trees that provide food?,"['community orchard', 'edible forest garden', 'agroforestry system']","['public park area', 'regional nature reserve', ""local farmers' market"", 'commercial tree nursery']"
The food needs to be kept chilled but there is no refrigerator. Where should it be kept?,"['cool cellar', 'well-insulated cooler', 'ice bath with salt']","['kitchen counter', 'sunny patio', 'car trunk', 'office drawer']"
John was writing into the wee hours.  Because of this he left a mess where?,"['workspace clutter', 'papers scattered', 'supplies disorganized']","['living room chaos', 'kitchen clutter', 'bedroom disarray', 'garage mess']"
What are people doing when washing hands for a long time?,"['contemplating hygiene', 'assessing cleanliness', 'considering contaminants']","['engaging distractions', 'absent-minded scrubbing', 'misjudging water temperature', 'overestimating germ removal']"
Where is one likely to find a wild fox?,"['wooded habitats', 'grasslands with rodents', 'farmland hedgerows']","['city parks with benches', 'abandoned factories', 'quiet beaches', 'rural playgrounds']"
Where can a person use pencils to keep score?,"['card game tournament', 'golf course scorecard', 'darts league match']","['art studio', 'office meeting', 'science lab', 'music room']"
"If someone is looking at a ceiling for issues before putting down a rent deposit, where are they likely?","['structural integrity check', 'ceiling assessment phase', 'property inspection process']","['commercial kitchen', 'art gallery', 'outdoor gazebo', 'public restroom']"
Where could you see a gentleman that is not real?,"['animated film', 'virtual performance', 'video game narrative']","['historical exhibit', 'fashion runway', 'television segment', 'live theater']"
"I needed to find out how to contact a person with a certain name, where should I look?","['local directory', 'community network', 'online platform']","['school newsletter', 'family reunion', 'local newspaper', 'contact list']"
Getting drunk often leads to what when people have disagreements?,"['heightened hostility', 'emotional outbursts', 'disrupted communication']","['temporary joy', 'shared laughter', 'increased empathy', 'momentary calm']"
What do you need to do on your face to watch film?,"['align head for view', 'adjust focus for clarity', 'maintain comfortable posture']","['wear contact lenses', 'visit a cinema', 'turn away from screen', 'cover eyes with sunglasses']"
"If you spend time finding information on math equations, what are you trying to do?","['refining problem-solving strategies', 'developing systematic calculations', 'enhancing analytical reasoning']","['acquiring general knowledge', 'memorizing formulas contextually', 'understanding abstract concepts', 'applying historical methods']"
Where would you get prescription mouthwash?,"['pharmacy with consultation', ""dentist's office"", 'specialty oral health clinic']","['holistic wellness center', 'urgent care clinic', 'local grocery store']"
"Sarah thought that her party was a surprise, but it was entirely what?","['anticipated by guests', 'discussed among friends', 'planned ahead of time']","['celebrated secretly', 'unnoticed by guests', 'held at an unexpected venue', 'timed for maximum surprise']"
Where do you keep instruments when you travel?,"['secure vehicle compartment', 'custom protective sleeve', 'dedicated instrument backpack']","['music performance venue', 'temporary event space', 'shared storage facility', 'public transportation station']"
What type of closet are canned goods likely to be in?,"['food storage area', 'non-perishable compartment', 'preservation shelf']","['kitchen cabinet', 'utility space', 'dining display', 'bathroom storage']"
What do you hold the handle of after going to Starbucks?,"['coffee cup', 'reusable tumbler', 'takeaway bag']","['shopping tote', 'laptop case', 'water bottle', 'snack pouch']"
"Jenny had trouble using the phone because she had to dial 9 to get an outside line.  And the manager wasn't very attentive to her needs, either.   Where might she be?","['business retreat', 'conference venue', 'temporary workspace']","['medical facility', 'shared office', 'community library', 'local diner']"
"In a war, the killing ends when every person does what?","['surrenders unconditionally', 'negotiates lasting peace', 'ceases hostile actions']","['punishment without resolution', 'evacuates civilians prematurely', 'calls for intervention without agreement', 'issues ultimatums unreciprocated']"
"Though he despised pie, it reminded him of his wife when he ate it, what did he do to the pie?","['associate memories with', 'reflect on nostalgia', 'transform his perception']","['admire its appearance', 'consume with indifference', 'honor her memory superficially', 'neglect emotional ties']"
Where would someone keep a grandfather clock?,"['historical museum exhibit', 'dedicated home office', 'elegantly designed hallway']","['shared workspace', 'temporary storage', 'modern art installation', 'public event space']"
Where is a student likely to have a ring binder?,"['class discussions', 'organizing materials', 'preparing projects']","['coffee shop study', 'library leisure', 'home organization', 'concert entertainment']"
How might someone feel if they spend time learning about a subject they're very passionate?,"['intellectual excitement', 'sense of fulfillment', 'deep satisfaction']","['temporary confusion', 'unrelated distractions', 'superficial opinions', 'disinterest in sharing']"
Where would there be a ticket office that has people with suitcases?,"['train station', 'airport terminal', 'bus depot']","['business conference', 'tourist attraction', 'public library', 'local market']"
"If I wanted to travel and get bar service, what is one of my best options?","['luxury bus tour', 'scenic ferry ride', 'private yacht charter']","['business conference', 'local festival', 'sports arena', 'family reunion']"
Eating midday leads people to get what?,"['experience sluggishness', 'feel post-lunch dip', 'struggle with focus']","['immediate energy boost', 'instant muscle gain', 'sudden clarity spike', 'rapid weight loss']"
Where on the east coast of the U.S. would you find some of the most famous skyscrapers?,"['new york city', 'boston skyline', 'philadelphia revitalization']","['historic sites', 'urban sprawl', 'coastal resorts', 'cultural landmarks']"
"The teacher is answering questions, why?","['students will clarify doubts', 'learners will develop critical thinking', 'participants enhance understanding through inquiry']","['students will memorize facts', 'people will understand concepts', 'learners will avoid questions', 'pupils will focus on grades']"
Jane is contemplating taking a break. She hurts and she is tired. What does she need?,"['calming environment', 'gentle physical relief', 'short restorative pause']","['group activities', 'high-energy events', 'long-term planning', 'intense discussions']"
If a person can only eat certain things their diet is said to be what?,"['nutritionally selective', 'dietary constrained', 'food intake limited']","['culinary preference', 'dietary exploration', 'food variety challenge', 'nutritional flexibility']"
It's 9PM and John has a craving for carrots. He gets into his car and where does he drive to?,"['organic market', 'late-night grocery', ""farmer's market""]","['distant park', 'abandoned lot', 'neighborhood gathering', 'closed restaurant']"
What do all people have except sociopaths?,"['emotional depth', 'interpersonal understanding', 'ethical awareness']","['social media', 'family ties', 'personal goals', 'cognitive skills']"
Sally loved the color of fallen leaves in autumn. She often took long walks in September. Where might she walk?,"['winding forest trail', 'picturesque riverbank path', 'tranquil wooded lane']","['crowded city plaza', 'busy shopping district', 'sunny beach boardwalk', 'icy mountain peak']"
While he had great disdain for the King and his knights he still respected their what?,"['commitment to justice', 'sense of duty', 'ability to inspire loyalty']","['political power', 'ritualistic ceremonies', 'historical conquests', 'public accolades']"
Where do you use condoms?,"['intimate encounters', 'sexual health discussions', 'safe practices clinics']","['public restrooms', 'health seminars', 'personal item shopping', 'restaurant tables']"
People using a machine gun are a part of what?,"['military operations', 'combat scenarios', 'tactical engagements']","['emergency drills', 'historical exhibits', 'public demonstrations', 'wildlife protection']"
"Curiosity caused a cat to jump on john's table, and knock over his lunch.  It was ruined.  He needed to get more, by doing what?","['order takeout', 'visit café', 'check pantry']","['evaluate cat', 'study nutrition', 'attend class', 'plan gathering']"
What is a landscape gardener likely to do?,"['design plant arrangements', 'prepare soil conditions', 'integrate water features']","['install garden lights', 'apply mulch indiscriminately', 'select plants for immediate bloom', 'build fences without planning']"
If your trouser fly is unfastened what should you do?,"['secure the zipper', 'fasten the hook', 'adjust the waistband']","['tighten the belt', 'adjust the cuffs', 'tuck in the shirt', 'leave it unfastened']"
"The apple tree was located outside the car factory, it was one of many where?","['industrial agriculture zones', 'urban green spaces', 'manufacturing districts']","['coastal fishing ports', 'remote wilderness areas', 'historical landmarks', 'tropical farming regions']"
What can learning about the world from a shut in lead to?,"['misguided beliefs', 'skewed perspectives', 'limited knowledge']","['broad insights', 'deep understanding', 'social connections', 'accurate assessments']"
Where do people keep their food cans?,"['kitchen pantry', 'designated can organizer', 'shelf in basement']","['temporary delivery box', 'recycling center', 'outdoor grill', 'dining table']"
Joe works in an establishment that is filled with stacks of small cardboard boxes with removable lids.  Where does Joe work?,"['custom packaging service', 'retail packaging center', 'gift shop']","['inventory storage', 'bulk item depot', 'temporary exhibit', 'seasonal market']"
What sort of life event might draw a large crowd of people together to celebrate?,"['community festival', 'charity fundraiser', 'milestone anniversary']","['office party', 'sporting event', 'family gathering', 'concert venue']"
"A politician makes countless empty promises during a campaign, but the only real goal is to what?","['strategic messaging', 'mobilize emotions', 'shape public perception']","['gain popularity', 'secure financial backing', 'create false narratives', 'gain media attention']"
"He finished his business, he got up and gave the toilet a what?","['final inspection', 'thorough rinse', 'quick clean']","['water refill', 'surface wipe', 'deodorize', 'overflow check']"
What would call playing fetch with a small dog?,"['interactive play', 'canine exercise', 'fetch activity']","['competitive chase', 'dog training', 'casual outing', 'social gathering']"
What is likely the result of remembering a deceased friend?,"['reflecting on memories', 'experiencing nostalgia', 'connecting with friends']","['feeling inspired', 'gaining insight', 'creating a legacy', 'developing resilience']"
What will have to happen to a chess set before you can play chess?,"['assembled correctly', 'set up properly', 'arranged in formation']","['decorated with themes', 'displayed in showcases', 'counted for completeness', 'cleaned for presentation']"
Where can peanut butter be bought?,"['grocery delivery service', 'bulk food store', 'specialty food shop']","['community pantry shelf', 'school vending machine', 'restaurant storage area', 'local flea market']"
"The patient was recovering well but still had a long recovery ahead, while chatting with friends he explained all the what?","['pain management', 'emotional strategies', 'healing nutrition']","['temporary joy', 'social benefits', 'exercise enjoyment', 'short-term fun']"
If more than one person is talking to another what are they having?,"['exchange of ideas', 'sharing perspectives', 'collaborative interaction']","['silent agreement', 'formal meeting', 'friendly banter', 'isolated remarks']"
"A boss may like an employee's ambition, so the employee may get put what?","['in charge of initiatives', 'overseeing key projects', 'mentored for advancement']","['assigned to routine tasks', 'forced into training sessions', 'given a temporary position', 'scheduled for performance reviews']"
"If you're running twenty six miles you need to be careful, you should make sure you do what throughout the run?","['hydrate regularly', 'adjust hydration strategy', 'monitor physical response']","['take frequent breaks', 'wear comfortable shoes', 'increase pace gradually', 'eat energy bars']"
"The monkey realized he was surrounded by water, where was the monkey?","['coastal rainforest', 'tropical island', 'isolated lagoon']","['urban park', 'mountain valley', 'desert oasis', 'zoo enclosure']"
What you viewing if you're not looking at paintings while visiting a museum?,"['viewing artifacts', 'observing sculptures', 'studying interactive exhibits']","['waiting in line', 'checking email', 'thinking about dinner', 'chatting with strangers']"
Little sarah didn't think that anyone should be kissing boys.  She thought that boys had what?,"['cooties', 'mysterious powers', 'hidden traps']","['special knowledge', 'a magical charm', 'contagious trait', 'rare quality']"
Hitting what is likely to cause broken glass in a car?,"['large rock drop', 'high-speed metal object', 'sudden concrete impact']","['soft grass surface', 'slow feather fall', 'stationary object touch', 'gentle inflatable strike']"
Lars Ulrich might not be happy if your borrow a song from what?,"['unauthorized streaming site', 'pirated music platform', 'illegitimate download service']","['music sharing app', 'official music store', 'licensed radio station', 'artist fan club']"
The steak house where I come from is the best in where?,"['culinary hotspot', 'local dining scene', 'agricultural region']","['sushi capital', 'vegetarian enclave', 'beachfront resort', 'wine country']"
"You can pick more than one number, or even pick a color on the what?","['roulette wheel', 'lottery ticket', 'bingo card']","['sports scoreboard', 'mathematics', 'game show buzzer', 'scientific calculator']"
Why might someone without much to do keep driving?,"['exploring new routes', 'seeking mental clarity', 'thinking about personal goals']","['enjoying scenery', 'finding new places', 'waiting for friends', 'practicing navigation']"
What type of booking office is likely to be used for planning a trip?,"['trip planner', 'travel consultancy', 'vacation organizer']","['city hall', 'bus station', 'travel clinic', 'hotel lobby']"
"Inspiration is the start, then it takes creativity to do what?","['design innovative solutions', 'develop original concepts', 'construct meaningful narratives']","['write a blog', 'conduct a workshop', 'launch a product', 'organize an event']"
"The world is natural geographically divided in parts, but man artificially divided it into what?","['political entities', 'administrative divisions', 'territorial agreements']","['cultural festivals', 'urban neighborhoods', 'natural habitats', 'historical landmarks']"
"The travelers didn't have much money but didn't have far to travel, so where did they go?","['local shuttle', 'community carpool', 'bike rental']","['luxury bus service', 'expensive taxi', 'international airport', 'high-speed rail']"
What would a person be showing about their character by avoiding imprudent decisions?,"['evaluating risks', 'weighing consequences', 'prioritizing benefits']","['excessive caution', 'thoughtless spontaneity', 'inconsistent judgment', 'short-term focus']"
What usually causes someone to stop eating?,"['feeling full', 'food aversion', 'digestive discomfort']","['weight concerns', 'gas discomfort', 'future meal thoughts', 'food contamination']"
"If you're printing on a printer, someone might notice because of what?","['mechanical sounds', 'visible paper output', 'indicator light activity']","['paper storage issues', 'ink cartridge placement', 'network connectivity alerts', 'printer maintenance reminders']"
What happens at the first opening of a business if it's not successful?,"['incur operational debts', 'experience low customer turnout', 'face negative reviews']","['gain fleeting attention', 'form temporary alliances', 'receive minor investments', 'achieve initial visibility']"
Where could there be a cloud?,"['atmospheric layers', 'tropical storm systems', 'high-altitude conditions']","['weather phenomena', 'airborne particles', 'moisture presence', 'daytime sky']"
Sarah was cooling off too quickly after exercising hard. She started doing what?,"['drinking warm fluids', 'performing gentle stretches', 'sitting in a heated room']","['drinking cold water', 'applying ice packs', 'engaging in high-intensity exercise', 'sitting outside in the wind']"
Where would you find a horse in the desert?,"['desert ranching site', 'guided trail expedition', 'wildlife sanctuary habitat']","['urban race track', 'mountain resort area', 'city petting zoo', 'tropical animal park']"
Fencing is a sport and like other sports there is a risk of what?,"['improper technique leading to strain', 'equipment malfunction causing accidents', 'lack of proper warm-up resulting in muscle tears']","['pain from intense matches', 'minor injuries during training', 'fatigue affecting performance', 'miscommunication in team events']"
"His wife began to worry when he was setting cup on table, she saw what shaking?","['trembling hands', 'nervous grip', 'shaky coordination']","['table stability', 'coaster placement', 'excessive force', 'incorrect angle']"
"The coupon frenzied lady bought many bags of chips, she had her kids stuff the bags on the shelves in the what?","['food storage', 'snack area', 'kitchen shelves']","['grocery aisle', 'utility room', 'family lounge', 'breakfast nook']"
Why was the baby crying?,"['overstimulated', 'hungry and needed feeding', 'tired and needed sleep']","['too many distractions', 'unfamiliar faces present', 'recently fed but restless', 'in a noisy environment']"
What is someone likely to feel after reaching a tentative agreement?,"['sense of progress', 'hope for resolution', 'commitment to collaboration']","['doubt about outcomes', 'reluctance to proceed', 'dissatisfaction with terms', 'discomfort from negotiations']"
James loved to play violin.  He did it in his spare time because he found it what?,"['emotionally expressive', 'therapeutically beneficial', 'a creative outlet']","['social obligation', 'technical mastery', 'competitive edge', 'emotional burden']"
Where is a lake likely to be warm but untouched?,"['isolated wetlands', 'shallow estuaries', 'remote valleys']","['mountain lakes', 'urban waterfronts', 'industrial ponds', 'coastal resorts']"
When a pillowcase is on a pillow where will it be?,"['in a bedroom', 'on a neatly made bed', 'during a movie night']","['in a storage unit', 'on a laundry pile', 'in a travel bag', 'under a coffee table']"
"John was living in a big city.  It had many roads and a lot of traffic.  He liked it, but didn't appreciate the smell.  He thought that there was too much what?","['airborne toxins', 'hazardous emissions', 'environmental contaminants']","['urban congestion', 'frequent festivals', 'excessive noise', 'high rent prices']"
Where is an aisle likely to be surrounded by pews?,"['religious venue', 'worship space', 'ceremonial hall']","['community theater', 'sports complex', 'public library', 'conference center']"
What liquid can be kept in a large container?,"['bulk juice', 'emergency water', 'cooking oil']","['cleaning vinegar', 'immediate coffee', 'small gasoline', 'single soda']"
If your entire body is experiencing fatigue what would you do at the end of the day?,"['light stretching', 'balanced snack', 'warm shower']","['sit on couch', 'drink energy drink', 'scroll on phone', 'skip dinner']"
"The entrance hall had the host standing inside, what was the host?","['individual welcoming guests', 'figure overseeing event', 'organizer managing gathering']","['information desk attendant', 'security personnel monitoring', 'event planner coordinating logistics', 'decorative figure in hall']"
Before getting the refined mineral you begin with collecting and mining the what?,"['mineral deposits', 'metallic ores', 'raw resources']","['soil samples', 'mining tools', 'natural elements', 'rock formations']"
Knitting for a long time can lead to what condition?,"['nerve compression from tension', 'chronic pain from repetitive motion', 'reduced circulation in extremities']","['temporary hand soreness', 'creative inspiration from focus', 'muscle relaxation through activity', 'enhanced fine motor skills']"
What is the best place to store a pen?,"['writing desk compartment', 'office supply organizer', 'notebook pocket']","['classroom desk', 'living room shelf', 'car glove compartment', 'backpack main pocket']"
What type of eating do people want to achieve when they eat vegetables?,"['nutrient-dense meals', 'digestive health improvement', 'sustained energy levels']","['instant energy bursts', 'culinary indulgence', 'quick meal prep', 'high-calorie snacks']"
"He had a hard time getting his father's attention, he hoped that the winning baseball game would finally get him some what?","['validation of efforts', 'acknowledgment of skill', 'interest in achievements']","['temporary excitement', 'indifference to outcome', 'celebration of victory', 'distraction from game']"
When watching a movie in a theater it is important to listen to the dialogue so the crowd in the theater must be what?,"['actively refraining', 'collectively respecting', 'consciously avoiding']","['engaging in discussions', 'celebrating plot twists', 'using devices quietly', 'sharing reactions aloud']"
"A person who is hungry and eating breakfast, what is their goal?","['achieving fullness', 'supporting daily activities', 'enhancing mental clarity']","['temporary relief', 'distraction from tasks', 'increasing appetite later', 'habitual consumption']"
"Bill saw that Lilly was praying. He wasn't religious, so he didn't pray himself.  He felt that it was just what?","['an exercise in futility', 'a moment of introspection', 'a ritual without purpose']","['a supportive gathering', 'a calming routine', 'a shared experience', 'a spiritual connection']"
The country didn't want to join the union. They felt that doing so would reduce them to the status of a what?,"['subordinate entity', 'dependent region', 'peripheral state']","['local government', 'international zone', 'economic district', 'regional alliance']"
What is the most common but not long lasting side effect of having a bath?,"['increased skin moisture', 'temporary muscle relaxation', 'short-term heart rate spike']","['water usage', 'skin rash', 'post-bath fatigue', 'long-term irritation']"
Bill needed new socks so he went where?,"['clothing outlet', 'online sock retailer', 'discount department store']","['home closet', 'laundry room', 'school gym']"
Where can you watch a performance like a symphony?,"['cultural venue', 'outdoor concert', 'community event']","['film screening', 'school play', 'live sports']"
"John was going bathing in a public hot spring in japan, but he was embarrassed. What wasn't he comfortable with?","['body exposure', 'social scrutiny', 'cultural expectations']","['crowded facilities', 'water cleanliness', 'temperature discomfort', 'public noise']"
Where is a student likely to keep books?,"['study area organizer', 'home library shelf', 'digital storage device']","['living room table', 'school locker', 'office cabinet', 'car glove compartment']"
Where are there many large rock?,"['mountain range', 'volcanic plateau', 'tectonic uplift']","['riverbanks during flood', 'urban construction', 'agricultural fields', 'coastal cliffs']"
What may you feel if your listening to your mother tell childhood stories to your date?,"['discomfort imagining judgment', 'nostalgia recalling experiences', 'tension balancing narratives']","['curiosity about storytelling', 'disappointment in childhood', 'embarrassment over family', 'satisfaction with shared history']"
Where are you when an employee brings you cooked potatoes?,"['catering event', 'food festival booth', 'buffet service area']","['grocery store aisle', 'office break room', 'home kitchen prep', ""farmer's market stall""]"
"John got a raise, but he lost rank. Overall, it was a good what?","['salary adjustment', 'benefit enhancement', 'compensation upgrade']","['title change', 'rank increase', 'demotion impact', 'role elevation']"
What happens if you mess up while skating?,"['lose balance', 'shift weight unexpectedly', 'collide with others']","['gain speed uncontrollably', 'skate without friction', 'perform a perfect trick', 'fly to the moon']"
By the end of one field the sharp scythe wasn't cutting because it had become what?,"['blunt', 'ineffective from wear', 'compromised from neglect']","['outdated tools', 'overused in gardens', 'damaged by moisture', 'misaligned from handling']"
Where is a very bad place to find a crab?,"['inside a crowded suitcase', 'under a heavy rock in a desert', 'within a sealed lunchbox in a hot car']","['busy fishing dock', 'marine biology lab', 'crab trap during season', 'restaurant kitchen']"
"John walks down an aisle that is full of over the counter medication. and another with assorted items, toys, candy, and whatnot.  If there isn't any food other than candy, what type of store is he probably in?","['pharmacy with casual goods', 'health-focused retail outlet', 'convenience store with toys']","['big box retailer', 'specialty toy shop', 'supermarket with pharmacy', 'discount store for snacks']"
Sally made a mistake.  She came home drunk and endeared the wrong house.   What was the relationship between the house and her neighbor?,"['share a property line', 'be part of the same homeowners association', 'have overlapping property rights']","['host a neighborhood watch', 'serve as a rental property', 'offer a garage service', 'include a shared mailbox']"
"James shaved, but this left a lot of hair where?","['bathroom countertop', 'shaving cream container', 'bathroom floor mat']","['shower floor', 'bathroom cabinet', 'toilet seat', 'bathroom window sill']"
"While he had seen a koala in the zoo, he was looking forward to finding one in the what?","['natural habitat', 'wildlife sanctuary', 'eucalyptus forest']","['tropical island', 'city park', 'urban garden', 'nature reserve']"
"The token was tossed aside carelessly, where did it end up?","['lost beneath a couch cushion', 'accidentally dropped into a backpack', 'tumbled into a nearby garden bed']","['left in a car', 'dropped on a sidewalk', 'placed on a table', 'stuck in a vending machine']"
"Even though he was committing murder in self defense at the time, he still had what about having had done it?","['moral conflict', 'anxiety over consequences', 'doubt about justification']","['fear of retaliation', 'satisfaction from survival', 'indifference to danger', 'confidence in actions']"
Why do people want to play games?,"['strategic engagement', 'narrative exploration', 'social interaction']","['scorekeeping', 'external approval', 'competitive focus', 'mindless repetition']"
Where could a marmot go to try to escape from you?,"['rock crevice', 'dense foliage', 'steep slope']","['near a road', 'open field', 'sunny meadow', 'busy road']"
"John's router kept going to sleep.  This made his internet searches much slower, because it increased this. What is this?","['network latency', 'data transmission delay', 'connection instability']","['signal interference', 'data usage limits', 'hardware compatibility', 'software updates']"
Where to put the rope before we start the hike?,"['secure it to a tree', 'coil it neatly beside gear', 'clip it to a carabiner']","['leave it at the campsite', 'toss it in a creek', 'hang it on a fence', 'drop it near the trail']"
What time of core value is likely to not be trivial?,"['fundamental principle', 'ethical engagement model', 'transformative leadership']","['temporary significance', 'superficial impact', 'individual ambition', 'historical relevance']"
What is a person the leader of after they are inaugurated?,"['national government', 'executive administration', 'public policy framework']","['community organization', 'military unit', 'local sports league', 'charity event']"
"Greg wasn't interested in academics or history, so when he was visiting the museum with his class he was crushed by what feeling?","['disinterest', 'frustration over engagement', 'overwhelm from excess information']","['curiosity about exhibits', 'excitement from peers', 'inspiration from artifacts', 'contentment with surroundings']"
Though he was foreign he no longer carried an accent and people always just assumed he was what?,"['culturally integrated', 'linguistically adept', 'regionally familiar']","['long-term resident', 'temporary visitor', 'culturally confused', 'socially distant']"
"The corner shop was the epicenter of activity, it's where everybody that knew everybody hung around in the small what?","['community hub', 'local hotspot', 'social nexus']","['busy intersection', 'shopping plaza', 'cultural center', 'commercial alley']"
"If one is drinking with the intention of getting drunk, what might your body experience?","['loss of control', 'impaired judgment', 'diminished reaction time']","['intense relaxation', 'temporary euphoria', 'increased sociability', 'enhanced sensory perception']"
Where would you give something other than money to a clerk?,"['lost item desk', 'event registration booth', 'library return desk']","['ticket collection point', 'hotel front desk', 'grocery self-checkout', 'airport baggage claim']"
Where would a highlighter be used in a legal case?,"['highlighting witness statements', 'marking evidence documents', 'annotating legal briefs']","['office supply store', 'highlighting academic texts', 'marking grocery lists', 'reviewing news articles']"
"She had grown to despise her husband, she thought committing murder was the only way to end her what?","['emotional suffering', 'ongoing torment', 'unending despair']","['social obligation', 'financial instability', 'temporary discomfort', 'emotional attachment']"
"He told his parents he was going to go somewhere, they told him to call when he what?","['arrives safely', 'settles in well', 'meets friends there']","['runs into issues', 'changes his mind', 'takes a detour', 'forgets to call']"
"The scientist began to analyse the results of all the tests, he was hoping to do what ideas about the theory?","['evaluate alternatives', 'test assumptions', 'identify inconsistencies']","['draw conclusions', 'confirm beliefs', 'review previous findings', 'focus on details']"
"Pencils, paper and curiosity are all great things to bring with you when you do what?","['explore concepts', 'develop ideas', 'create narratives']","['review documents', 'attend meetings', 'analyze data', 'manage projects']"
What could silicone get stuck to and cause irritation?,"['contact lenses', 'adhesive bandages', 'medical tubing']","['hardware supplies', 'safety equipment', 'personal items', 'plastic containers']"
